Sub-Activity,Functional Group,Species Common Name,Combined Consequence and Confidence Score
Pelagic and mid-water trawls,Lingcod,Lingcod,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Shelf rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Canary rockfish,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Greenstriped rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Silvergray rockfish ,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Widow rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Yellowtail rockfish,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Slope rockfish,HIGH
Pelagic and mid-water trawls,Slope rockfish,Darkblotched rockfish,HIGH
Pelagic and mid-water trawls,Slope rockfish,Pacific ocean perch,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Redbanded rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Redstripe rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Rougheye rockfish,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Shortraker rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Yellowmouth rockfish,HIGH
Pelagic and mid-water trawls,Pelagic fish,Pelagic fish,MEDIUM
Mid-water gill-nets,Wetland and coastal birds,Wetland and coastal birds,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Common murres,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Rhinoceros auklets ,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Cassin’s auklets ,VERY HIGH
Mid-water gill-nets,Coastal piscivores,Coastal piscivores,HIGH
Mid-water gill-nets,Coastal piscivores,Marbled murrelet,HIGH
Mid-water gill-nets,Coastal piscivores,Unspecified Cormorant  ,HIGH
Mid-water gill-nets,Coastal piscivores,Brandt’s cormorant ,HIGH
Mid-water gill-nets,Coastal piscivores,Pelagic cormorant ,HIGH
Mid-water gill-nets,Coastal piscivores,Double-crested Cormorant,HIGH
Mid-water gill-nets,Pacific salmon,Pacific salmon,HIGH
Mid-water gill-nets,Pacific salmon,Sockeye salmon,HIGH
Mid-water gill-nets,Pacific salmon,Pink salmon,HIGH
Mid-water gill-nets,Pacific salmon,Chum salmon,HIGH
Mid-water gill-nets,Forage fish,Forage fish,VERY HIGH
Mid-water gill-nets,Forage fish,Eulachon,VERY HIGH
Mid-water gill-nets,Forage fish,Pacific herring ,VERY HIGH
Mid-water gill-nets,Forage fish,Surf smelt,MEDIUM
Mid-water gill-nets,Pelagic fish,Pelagic fish,MEDIUM
Mid-water gill-nets,Pelagic sharks,Pelagic sharks,MEDIUM
Mid-water gill-nets,Pelagic sharks,Basking shark,VERY HIGH
Mid-water gill-nets,Pelagic sharks,Salmon shark,HIGH
Mid-water gill-nets,Sea turtles,Leatherback sea turtle,LOW
Mid-water gill-nets,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Mid-water gill-nets,Pinnipeds and Otters,Sea Otter,MEDIUM
Mid-water gill-nets,Pinnipeds and Otters,Harbour seal,HIGH
Mid-water gill-nets,Baleen Whales,Baleen Whales,HIGH
Mid-water gill-nets,Baleen Whales,Humpback whale,HIGH
Mid-water gill-nets,Grey whales,Grey whales,HIGH
Mid-water gill-nets,Orca/killer whales,Orca/Killer Whale,HIGH
Mid-water gill-nets,Dolphins and porpoises,Dolphins and porpoises,HIGH
Mid-water gill-nets,Dolphins and porpoises,Pacific white-sided dolphin ,HIGH
Mid-water gill-nets,Dolphins and porpoises,Risso's dolphin,LOW
Mid-water gill-nets,Dolphins and porpoises,Dall's porpoise,HIGH
Mid-water gill-nets,Dolphins and porpoises,Harbour porpoise,HIGH
Trolling/Rod and Reel,Coastal piscivores,Coastal piscivores,LOW
Trolling/Rod and Reel,Coastal piscivores,Marbled murrelet,LOW
Trolling/Rod and Reel,Pacific salmon,Pacific salmon,HIGH
Trolling/Rod and Reel,Pacific salmon,Coho salmon,HIGH
Trolling/Rod and Reel,Pacific salmon,Chinook salmon,HIGH
Trolling/Rod and Reel,Pelagic fish,Pelagic fish,VERY HIGH
Trolling/Rod and Reel,Pelagic fish,Albacore tuna,VERY HIGH
Trolling/Rod and Reel,Pelagic sharks,Pelagic sharks,LOW
Trolling/Rod and Reel,Pelagic sharks,Bigeye thresher shark,LOW
Trolling/Rod and Reel,Pelagic sharks,Blue shark,MEDIUM
Trolling/Rod and Reel,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Trolling/Rod and Reel,Pinnipeds and Otters,Stellar sea lion,HIGH
Trolling/Rod and Reel,Pinnipeds and Otters,Harbour seal,HIGH
Trolling/Rod and Reel,Grey whales,Grey whales,HIGH
Trolling/Rod and Reel,Orca/killer whales,Orca/Killer Whale,HIGH
Trolling/Rod and Reel,Dolphins and porpoises,Dolphins and porpoises,HIGH
Trolling/Rod and Reel,Dolphins and porpoises,Harbour porpoise,HIGH
Purse Seine,Coastal piscivores,Coastal piscivores,LOW
Purse Seine,Coastal piscivores,Marbled murrelet,LOW
Purse Seine,Pacific salmon,Pacific salmon,HIGH
Purse Seine,Pacific salmon,Sockeye salmon,HIGH
Purse Seine,Pacific salmon,Pink salmon,HIGH
Purse Seine,Pacific salmon,Chum salmon,HIGH
Purse Seine,Forage fish,Forage fish,VERY HIGH
Purse Seine,Forage fish,Pacific herring ,VERY HIGH
Purse Seine,Forage fish,Northern anchovy,MEDIUM
Purse Seine,Forage fish,Pacific sardine,VERY HIGH
Purse Seine,Pelagic fish,Pelagic fish,LOW
Purse Seine,Pelagic sharks,Pelagic sharks,VERY HIGH
Purse Seine,Pelagic sharks,Basking shark,VERY HIGH
Purse Seine,Pelagic sharks,Salmon shark,HIGH
Purse Seine,Sea turtles,Leatherback sea turtle,LOW
Purse Seine,Baleen Whales,Baleen Whales,HIGH
Purse Seine,Baleen Whales,Humpback whale,HIGH
Purse Seine,Grey whales,Grey whales,HIGH
Purse Seine,Orca/killer whales,Orca/Killer Whale,HIGH
Purse Seine,Pelagic molluscs (Cephalopods),Pelagic molluscs (Cephalopods),MEDIUM
Trap,Seabird nesting colonies & associated assemblages,Seabird nesting colonies & associated assemblages,HIGH
Trap,Sablefish,Sablefish,VERY HIGH
Trap,Inshore Rockfish,Inshore Rockfish,HIGH
Trap,Inshore Rockfish,Copper rockfish,HIGH
Trap,Inshore Rockfish,Quillback rockfish,HIGH
Trap,Inshore Rockfish,Yelloweye rockfish ,HIGH
Trap,Slope rockfish,Slope rockfish,HIGH
Trap,Sea turtles,Leatherback sea turtle,LOW
Trap,Pinnipeds and Otters,Pinnipeds and Otters,MEDIUM
Trap,Pinnipeds and Otters,Sea Otter,MEDIUM
Trap,Baleen Whales,Baleen Whales,HIGH
Trap,Baleen Whales,Humpback whale,HIGH
Trap,Grey whales,Grey whales,HIGH
Trap,Crabs,Crabs,MEDIUM
Trap,Crabs,Dungeness crab,HIGH
Trap,Crabs,Tanner Crabs ,HIGH
Trap,Crabs,Box crabs,MEDIUM
Trap,Crabs,King Crabs,MEDIUM
Trap,Crabs,Red Rock Crab,LOW
Trap,Crabs,Squat lobster ,MEDIUM
Trap,Shrimp and prawns,Shrimp and prawns,VERY HIGH
Trap,Shrimp and prawns,Spot Prawn,VERY HIGH
Trap,Shrimp and prawns,Humpback Shrimp,HIGH
Trap,Shrimp and prawns,Coonstripe shrimp,HIGH
Trap,Shrimp and prawns,Smooth pink shrimp,LOW
Trap,Pelagic molluscs (Cephalopods),Pelagic molluscs (Cephalopods),MEDIUM
Trap,Pelagic molluscs (Cephalopods),Giant Pacific Octopus,MEDIUM
Trap,Corals,Corals,HIGH
Trap,Corals,Red/White tree Coral,HIGH
Trap,Corals,Bamboo Coral,HIGH
Trap,Glass Sponges,Glass Sponges,MEDIUM
Trap,Demosponges,Demosponges,MEDIUM
Trap,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Bottom Trawling,Flatfish,Flatfish,MEDIUM
Bottom Trawling,Flatfish,Arrowtooth flounder,VERY HIGH
Bottom Trawling,Flatfish,Dover sole,HIGH
Bottom Trawling,Flatfish,English sole,HIGH
Bottom Trawling,Flatfish,Petrale sole,HIGH
Bottom Trawling,Flatfish,Rex sole,MEDIUM
Bottom Trawling,Flatfish,Rock sole,VERY HIGH
Bottom Trawling,Flatfish,Flathead sole,LOW
Bottom Trawling,Flatfish,Starry flounder,LOW
Bottom Trawling,Flatfish,Pacific halibut,VERY HIGH
Bottom Trawling,Roundfish,Roundfish,MEDIUM
Bottom Trawling,Roundfish,Pacific cod,VERY HIGH
Bottom Trawling,Roundfish,Pacific hake,VERY HIGH
Bottom Trawling,Roundfish,Walleye pollock,LOW
Bottom Trawling,Roundfish,Pacific tomcod,LOW
Bottom Trawling,Lingcod,Lingcod,VERY HIGH
Bottom Trawling,Sablefish,Sablefish,VERY HIGH
Bottom Trawling,Shelf rockfish,Shelf rockfish,HIGH
Bottom Trawling,Shelf rockfish,Bocaccio,VERY HIGH
Bottom Trawling,Shelf rockfish,Canary rockfish,VERY HIGH
Bottom Trawling,Shelf rockfish,Greenstriped rockfish,HIGH
Bottom Trawling,Shelf rockfish,Silvergray Rockfish,VERY HIGH
Bottom Trawling,Shelf rockfish,Widow rockfish,HIGH
Bottom Trawling,Shelf rockfish,Yellowtail rockfish,VERY HIGH
Bottom Trawling,Slope rockfish,Slope rockfish,HIGH
Bottom Trawling,Slope rockfish,Darksplotched rockfish,HIGH
Bottom Trawling,Slope rockfish,Pacific ocean perch,VERY HIGH
Bottom Trawling,Slope rockfish,Redbanded rockfish,MEDIUM
Bottom Trawling,Slope rockfish,Redstripe rockfish,MEDIUM
Bottom Trawling,Slope rockfish,Rougheye rockfish,VERY HIGH
Bottom Trawling,Slope rockfish,Shortraker rockfish,MEDIUM
Bottom Trawling,Slope rockfish,Yellowmouth rockfish,HIGH
Bottom Trawling,Slope rockfish,Shortspine thornyhead,MEDIUM
Bottom Trawling,Slope rockfish,Longspine thornyhead,HIGH
Bottom Trawling,Forage fish,Forage fish,VERY HIGH
Bottom Trawling,Forage fish,Pacific saury,VERY HIGH
Bottom Trawling,Pelagic sharks,Pelagic sharks,VERY HIGH
Bottom Trawling,Pelagic sharks,Basking shark,VERY HIGH
Bottom Trawling,Pelagic sharks,Bigeye thresher shark,LOW
Bottom Trawling,Pelagic sharks,Blue shark,MEDIUM
Bottom Trawling,Pelagic sharks,Salmon shark,HIGH
Bottom Trawling,Pelagic sharks,Soupfin or tope shark,HIGH
Bottom Trawling,Pelagic sharks,White shark,LOW
Bottom Trawling,Demersal sharks/skates,Demersal sharks/skates,MEDIUM
Bottom Trawling,Demersal sharks/skates,Brown cat shark,VERY HIGH
Bottom Trawling,Demersal sharks/skates,Bluntnose sixgill shark ,HIGH
Bottom Trawling,Demersal sharks/skates,Spiny dogfish,VERY HIGH
Bottom Trawling,Demersal sharks/skates,Big skate,VERY HIGH
Bottom Trawling,Demersal sharks/skates,Longnose skate,VERY HIGH
Bottom Trawling,Demersal sharks/skates,Black skate / sandpaper skate ,VERY HIGH
Bottom Trawling,Demersal sharks/skates,Roughtail skate,VERY HIGH
Bottom Trawling,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Bottom Trawling,Pinnipeds and Otters,California sea lion,LOW
Bottom Trawling,Pinnipeds and Otters,Stellar sea lion,LOW
Bottom Trawling,Pinnipeds and Otters,Harbour seal,HIGH
Bottom Trawling,Pinnipeds and Otters,Northern elephant seal,MEDIUM
Bottom Trawling,Pinnipeds and Otters,Northern fur seal,HIGH
Bottom Trawling,Orca/killer whales,Orca/Killer Whale,HIGH
Bottom Trawling,Dolphins and porpoises,Dolphins and porpoises,HIGH
Bottom Trawling,Dolphins and porpoises,Pacific white-sided dolphin ,HIGH
Bottom Trawling,Dolphins and porpoises,Risso's dolphin,LOW
Bottom Trawling,Dolphins and porpoises,Dall's porpoise,HIGH
Bottom Trawling,Dolphins and porpoises,Harbour porpoise,HIGH
Bottom Trawling,Shrimp and prawns,Shrimp and prawns,VERY HIGH
Bottom Trawling,Shrimp and prawns,Smooth pink shrimp,VERY HIGH
Bottom Trawling,Shrimp and prawns,Northern pink shrimp ,VERY HIGH
Bottom Trawling,Shrimp and prawns,Sidestripe shrimp ,VERY HIGH
Bottom Trawling,Shrimp and prawns,Humpback shrimp ,HIGH
Bottom Trawling,Corals,Corals,HIGH
Bottom Trawling,Corals,Red/white tree coral ,HIGH
Bottom Trawling,Corals,Bamboo coral ,HIGH
Bottom Trawling,Glass Sponges,Glass Sponges,VERY HIGH
Bottom Trawling,Demosponges,Demosponges,VERY HIGH
Bottom Trawling,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,HIGH
Bottom Trawling,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Bottom Longline,"Offshore, migratory pelagic birds","Offshore, migratory pelagic birds",HIGH
Bottom Longline,"Offshore, migratory pelagic birds",Black-footed albatross,HIGH
Bottom Longline,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),MEDIUM
Bottom Longline,Coastal scavengers/generalists (gulls),Herring gull,MEDIUM
Bottom Longline,Coastal scavengers/generalists (gulls),California gull,MEDIUM
Bottom Longline,Coastal scavengers/generalists (gulls),Glaucous-winged gull,MEDIUM
Bottom Longline,Flatfish,Flatfish,VERY HIGH
Bottom Longline,Flatfish,Pacific halibut,VERY HIGH
Bottom Longline,Lingcod,Lingcod,VERY HIGH
Bottom Longline,Sablefish,Sablefish,VERY HIGH
Bottom Longline,Inshore Rockfish,Inshore Rockfish,HIGH
Bottom Longline,Inshore Rockfish,China rockfish,HIGH
Bottom Longline,Inshore Rockfish,Copper rockfish,HIGH
Bottom Longline,Inshore Rockfish,Quillback rockfish,HIGH
Bottom Longline,Inshore Rockfish,Tiger rockfish,HIGH
Bottom Longline,Inshore Rockfish,Yelloweye rockfish ,HIGH
Bottom Longline,Shelf rockfish,Shelf rockfish,VERY HIGH
Bottom Longline,Shelf rockfish,Yellowtail rockfish,VERY HIGH
Bottom Longline,Slope rockfish,Slope rockfish,HIGH
Bottom Longline,Slope rockfish,Redbanded rockfish,MEDIUM
Bottom Longline,Slope rockfish,Rougheye rockfish,VERY HIGH
Bottom Longline,Slope rockfish,Shortraker rockfish,MEDIUM
Bottom Longline,Pelagic sharks,Pelagic sharks,VERY HIGH
Bottom Longline,Pelagic sharks,Basking shark,VERY HIGH
Bottom Longline,Pelagic sharks,Blue shark,MEDIUM
Bottom Longline,Pelagic sharks,Soupfin or tope shark ,HIGH
Bottom Longline,Demersal sharks/skates,Demersal sharks/skates,VERY HIGH
Bottom Longline,Demersal sharks/skates,Spiny dogfish,VERY HIGH
Bottom Longline,Demersal sharks/skates,Big skate,VERY HIGH
Bottom Longline,Demersal sharks/skates,Longnose skate,VERY HIGH
Bottom Longline,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Bottom Longline,Pinnipeds and Otters,Stellar sea lion,HIGH
Bottom Longline,Pinnipeds and Otters,Harbour seal,HIGH
Bottom Longline,Sperm whales,Sperm whales,LOW
Bottom Longline,Orca/killer whales,Orca/Killer Whale,HIGH
Bottom Longline,Corals,Corals,HIGH
Bottom Longline,Corals,Red/white tree coral,HIGH
Bottom Longline,Corals,Bamboo coral,MEDIUM
Bottom Longline,Glass Sponges,Glass Sponges,HIGH
Bottom Longline,Demosponges,Demosponges,HIGH
Bottom Longline,Eelgrass and associated assemblages,Eelgrass and associated assemblages,LOW
Beach Seine/CasNets/Dip Nets,Forage fish,Forage fish,MEDIUM
Beach Seine/CasNets/Dip Nets,Forage fish,Eulachon,VERY HIGH
Beach Seine/CasNets/Dip Nets,Forage fish,Sand lance,MEDIUM
Beach Seine/CasNets/Dip Nets,Forage fish,Surf smelt,MEDIUM
High-Pressure Hose / Stinger,Infaunal bivalves,Infaunal bivalves,HIGH
High-Pressure Hose / Stinger,Eelgrass and associated assemblages,Eelgrass and associated assemblages,HIGH
Intertidal Hand Picking/Digging,Epifaunal bivalves,Epifaunal bivalves,HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Infaunal bivalves,VERY HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Manila clam,VERY HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Razor clam,VERY HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Butter clam,VERY HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Littleneck clam,VERY HIGH
Intertidal Hand Picking/Digging,Infaunal bivalves,Varnish clam,VERY HIGH
Intertidal Hand Picking/Digging,"Other molluscs, benthic","Other molluscs, benthic",MEDIUM
Intertidal Hand Picking/Digging,"Other molluscs, benthic",Black chiton,MEDIUM
Intertidal Hand Picking/Digging,"Other molluscs, benthic",Gumboot chiton ,LOW
Intertidal Hand Picking/Digging,"Other molluscs, benthic",Northern abalone,MEDIUM
Fish Wheels,Pacific salmon,Pacific salmon,LOW
SCUBA/Dive fishing,Pelagic molluscs (Cephalopods),Giant Pacific Octopus ,MEDIUM
SCUBA/Dive fishing,Epifaunal bivalves,Epifaunal bivalves,LOW
SCUBA/Dive fishing,Epifaunal bivalves,Other epifaunal bivalves: Pink Scallop  and Spiny Scallop ,LOW
SCUBA/Dive fishing,Infaunal bivalves,Infaunal bivalves,VERY HIGH
SCUBA/Dive fishing,Infaunal bivalves,Geoduck clam,VERY HIGH
SCUBA/Dive fishing,Infaunal bivalves,Horse clam,VERY HIGH
SCUBA/Dive fishing,"Other molluscs, benthic","Other molluscs, benthic",MEDIUM
SCUBA/Dive fishing,"Other molluscs, benthic",Northern abalone,MEDIUM
SCUBA/Dive fishing,Herbivores/grazers,Herbivores/grazers,VERY HIGH
SCUBA/Dive fishing,Herbivores/grazers,Red sea urchin,VERY HIGH
SCUBA/Dive fishing,Herbivores/grazers,Green sea urchin,VERY HIGH
SCUBA/Dive fishing,Benthic feeders/surface bioturbators,Giant red sea cucumber,VERY HIGH
Spear Fishing,Lingcod,Lingcod,LOW
Spear Fishing,Rockfish (any),Rockfish (any),LOW
Spear Fishing,Pelagic sharks,Pelagic sharks,LOW
Spear Fishing,Pelagic sharks,Salmon shark,LOW
Hunting,Forage fish,Forage fish,LOW
Hunting,Salmon-spawning associated assemblages,Salmon-spawning associated assemblages,LOW
Open Net Pens,Raptors,Raptors,LOW
Open Net Pens,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,LOW
Open Net Pens,Wetland and coastal birds,Wetland and coastal birds,LOW
Open Net Pens,Wetland and coastal birds,Great Blue Heron,MEDIUM
Open Net Pens,Terrestrial scavengers/generalists (corvids),Terrestrial scavengers/generalists (corvids),LOW
Open Net Pens,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,LOW
Open Net Pens,Coastal scavengers/generalists (gulls),Coastal scavengers/generalists (gulls),LOW
Open Net Pens,Coastal piscivores,Coastal piscivores,LOW
Open Net Pens,Roundfish,Roundfish,LOW
Open Net Pens,Flatfish,Flatfish,LOW
Open Net Pens,Other groundfish,Other groundfish,LOW
Open Net Pens,Rockfish (any),Rockfish (any),HIGH
Open Net Pens,Inshore Rockfish,Inshore Rockfish,HIGH
Open Net Pens,Inshore Rockfish,Copper rockfish,HIGH
Open Net Pens,Inshore Rockfish,Quillback rockfish,HIGH
Open Net Pens,Shelf rockfish,Shelf rockfish,HIGH
Open Net Pens,Slope rockfish,Slope rockfish,HIGH
Open Net Pens,Forage fish,Forage fish,MEDIUM
Open Net Pens,Pacific salmon,Pacific salmon,HIGH
Open Net Pens,Pacific salmon,Chinook salmon,HIGH
Open Net Pens,Pacific salmon,Chum salmon,HIGH
Open Net Pens,Pacific salmon,Coho salmon,VERY HIGH
Open Net Pens,Pacific salmon,Pink salmon,VERY HIGH
Open Net Pens,Pacific salmon,Sockeye salmon,VERY HIGH
Open Net Pens,Atlantic salmon,Atlantic salmon,VERY HIGH
Open Net Pens,Pelagic sharks,Pelagic sharks,LOW
Open Net Pens,Pelagic sharks,Basking shark,LOW
Open Net Pens,Demersal sharks/skates,Demersal sharks/skates,LOW
Open Net Pens,Demersal sharks/skates,Spiny dogfish,LOW
Open Net Pens,Pinnipeds and Otters,Pinnipeds and Otters,HIGH
Open Net Pens,Pinnipeds and Otters,Harbour seal,HIGH
Open Net Pens,Pinnipeds and Otters,Steller sea lion,HIGH
Open Net Pens,Pinnipeds and Otters,California sea lion ,HIGH
Open Net Pens,Pinnipeds and Otters,Sea Otter,LOW
Open Net Pens,Baleen Whales,Baleen Whales,HIGH
Open Net Pens,Grey whales,Grey whales,HIGH
Open Net Pens,Sperm whales,Sperm whales,HIGH
Open Net Pens,Orca/killer whales,Orca/Killer Whale,VERY HIGH
Open Net Pens,Dolphins and porpoises,Dolphins and porpoises,VERY HIGH
Open Net Pens,Dolphins and porpoises,Pacific white-sided dolphin ,VERY HIGH
Open Net Pens,Dolphins and porpoises,Harbour porpoise,HIGH
Open Net Pens,Native non-marine mammals,Native non-marine mammals,LOW
Open Net Pens,Native non-marine mammals,River otter,LOW
Open Net Pens,Crabs,Crabs,LOW
Open Net Pens,Shrimp and prawns,Shrimp and prawns,LOW
Open Net Pens,Tunicates,Tunicates,HIGH
Open Net Pens,Epifaunal bivalves,Epifaunal bivalves,HIGH
Open Net Pens,Infaunal bivalves,Infaunal bivalves,MEDIUM
Open Net Pens,Glass Sponges,Glass Sponges,HIGH
Open Net Pens,Demosponges,Demosponges,HIGH
Open Net Pens,Zooplankton,Zooplankton,MEDIUM
Open Net Pens,Filter/suspension feeders,Filter/suspension feeders,HIGH
Open Net Pens,Benthic feeders/surface bioturbators,Benthic feeders/surface bioturbators,VERY HIGH
Open Net Pens,Herbivores/grazers,Herbivores/grazers,VERY HIGH
Open Net Pens,Burrowing invertebrates,Burrowing invertebrates,VERY HIGH
Open Net Pens,Fouling or encrusting invertebrates,Fouling or encrusting invertebrates,HIGH
Open Net Pens,Kelp bed and associated assemblages,Kelp bed and associated assemblages,HIGH
Open Net Pens,Kelp bed and associated assemblages,Bull kelp,HIGH
Open Net Pens,Kelp bed and associated assemblages,Other Macroalgae,HIGH
Open Net Pens,Intertidal algae,Intertidal algae,HIGH
Open Net Pens,Microalgae and phytoplankton,Microalgae and phytoplankton,LOW
Open Net Pens,Eelgrass and associated assemblages,Eelgrass and associated assemblages,MEDIUM
Open Net Pens,Eelgrass and associated assemblages,Zostera marina and Z. japonica,MEDIUM
Beach Seeding,Raptors,Raptors,LOW
Beach Seeding,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,HIGH
Beach Seeding,Wetland and coastal birds,Wetland and coastal birds,HIGH
Beach Seeding,Wetland and coastal birds,Brant,MEDIUM
Beach Seeding,Wetland and coastal birds,"Loon, unspecified ",LOW
Beach Seeding,Wetland and coastal birds,Great Blue Heron,LOW
Beach Seeding,Terrestrial scavengers/generalists (corvids),Terrestrial scavengers/generalists (corvids),LOW
Beach Seeding,Intertidal/shallow subtidal insectivores or omnivores,Intertidal/shallow subtidal insectivores or omnivores,HIGH
Beach Seeding,Intertidal/shallow subtidal insectivores or omnivores,Black Oystercatcher ,HIGH
