Desktop_UID,attributetype
eco_birds_ancientmurrelet_colonies_d_ri1,ri1
eco_birds_ancientmurrelet_colonies_d_ri2,ri2
eco_birds_ancientmurrelet_colonies_d_ri3,ri3
eco_birds_brandtscormorant_colonies_d_ri1,ri1
eco_birds_brandtscormorant_colonies_d_ri3,ri2
eco_birds_cassinsauklet_colonies_d_ri1,ri1
eco_birds_cassinsauklet_colonies_d_ri2,ri2
eco_birds_cassinsauklet_colonies_d_ri3,ri3
eco_birds_commonmurre_colonies_d_ri1,ri1
eco_birds_commonmurre_colonies_d_ri3,ri3
eco_birds_pelagiccormorant_colonies_d_ri1,ri1
eco_birds_pelagiccormorant_colonies_d_ri2,ri2
eco_birds_pelagiccormorant_colonies_d_ri3,ri3
eco_birds_pigeonguillemot_colonies_d_ri1,ri1
eco_birds_pigeonguillemot_colonies_d_ri2,ri2
eco_birds_rhinocerosauklet_colonies_d_ri1,ri1
eco_birds_rhinocerosauklet_colonies_d_ri2,ri2
eco_birds_rhinocerosauklet_colonies_d_ri3,ri3
eco_birds_stormpetrel_colonies_d_ri1,ri1
eco_birds_stormpetrel_colonies_d_ri2,ri2
eco_birds_stormpetrel_colonies_d_ri3,ri3
eco_birds_tuftedpuffin_colonies_d_ri1,ri1
eco_birds_tuftedpuffin_colonies_d_ri2,ri2
eco_birds_tuftedpuffin_colonies_d_ri3,ri3
eco_coarse_biophysicalunits_polygons_d_DogFishBank,dogfishbank
eco_coarse_biophysicalunits_polygons_d_OtherBank,otherbank
eco_coarse_biophysicalunits_polygons_d_Shelf,shelf
eco_coarse_biophysicalunits_polygons_d_Slope,slope
eco_coarse_biophysicalunits_polygons_d_Trough,trough
eco_coarse_bottompatches_polygons_d_BType11,hard
eco_coarse_bottompatches_polygons_d_BType12,mixed
eco_coarse_bottompatches_polygons_d_BType13,soft
eco_coarse_coastalclasses_lines_d_Channel,channel
eco_coarse_coastalclasses_lines_d_estuaryorganicsfines,estuary
eco_coarse_coastalclasses_lines_d_gravelbeach,gravelbeach
eco_coarse_coastalclasses_lines_d_gravelflat,gravelflat
eco_coarse_coastalclasses_lines_d_manmade,manmade
eco_coarse_coastalclasses_lines_d_mudflat,mudflat
eco_coarse_coastalclasses_lines_d_rockcliff,rockcliff
eco_coarse_coastalclasses_lines_d_rockplatform,rockplatform
eco_coarse_coastalclasses_lines_d_rockramp,rockramp
eco_coarse_coastalclasses_lines_d_sandandgravelbeach,sandgravelbeach
eco_coarse_coastalclasses_lines_d_sandandgravelflatorfan,sandgravelflatfan
eco_coarse_coastalclasses_lines_d_sandbeach,sandbeach
eco_coarse_coastalclasses_lines_d_sandflat,sandflat
eco_coarse_coastalclasses_lines_d_undefined,undefined
eco_coarse_ebsas_polygons_d_bellabellanearshore,bellabellanearshore
eco_coarse_ebsas_polygons_d_brookspeninsula,brookspeninsula
eco_coarse_ebsas_polygons_d_capestjames,capestjames
eco_coarse_ebsas_polygons_d_centralmainland,centralmainland
eco_coarse_ebsas_polygons_d_chathamsound,chathamsound
eco_coarse_ebsas_polygons_d_dogfishbanks,dogfishbanks
eco_coarse_ebsas_polygons_d_haidagwaiinearshore,haidagwaiinearshore
eco_coarse_ebsas_polygons_d_hecatestrait,hecatestrait
eco_coarse_ebsas_polygons_d_learmonthbank,learmonthbank
eco_coarse_ebsas_polygons_d_mcintyrebay,mcintyrebay
eco_coarse_ebsas_polygons_d_northislandstraits,northislandstraits
eco_coarse_ebsas_polygons_d_scottislands,scottislands
eco_coarse_ebsas_polygons_d_shelfbreak,shelfbreak
eco_coarse_ecosections_polygons_d_JohnstoneStrait,js
eco_coarse_ecosections_polygons_d_ContinentalSlope,cs
eco_coarse_ecosections_polygons_d_DixonEnttrance,de
eco_coarse_ecosections_polygons_d_QueenCharlotteStrait,qcst
eco_coarse_ecosections_polygons_d_NorthCoastFjords,ncf
eco_coarse_ecosections_polygons_d_HecateStrait,hs
eco_coarse_ecosections_polygons_d_QueenCharlotteSound,qcso
eco_coarse_ecosections_polygons_d_vancouverislandshelf,vis
eco_coarse_geomorphicunits_polygons_d_fjordcrest,fjordcrest
eco_coarse_geomorphicunits_polygons_d_fjorddepression,fjorddepression
eco_coarse_geomorphicunits_polygons_d_fjorddepressionfloor,fjorddepressionfloor
eco_coarse_geomorphicunits_polygons_d_fjordmound,fjordmound
eco_coarse_geomorphicunits_polygons_d_fjordwallsteep,fjordwallsteep
eco_coarse_geomorphicunits_polygons_d_shelfcrest,shelfcrest
eco_coarse_geomorphicunits_polygons_d_shelfdepression,shelfdepression
eco_coarse_geomorphicunits_polygons_d_shelfdepressionfloor,shelfdepressionfloor
eco_coarse_geomorphicunits_polygons_d_shelfmound,shelfmound
eco_coarse_geomorphicunits_polygons_d_shelfwallsloping,shelfwallsloping
eco_coarse_geomorphicunits_polygons_d_slopecanyonfloor,slopecanyonfloor
eco_coarse_geomorphicunits_polygons_d_sloperidge,sloperidge
eco_coarse_geomorphicunits_polygons_d_slopewallsloping,slopewallsloping
eco_coarse_geomorphicunits_polygons_d_slopewallsteep,slopewallsteep
eco_coarse_oceanreg_polygons_d_Id10,aristazabalbanksupwelling
eco_coarse_oceanreg_polygons_d_Id11,mainlandfjords
eco_coarse_oceanreg_polygons_d_Id12,capestjamestidalmixing
eco_coarse_oceanreg_polygons_d_Id13,easternqueencharlottesound
eco_coarse_oceanreg_polygons_d_Id14,capescotttidalmixing
eco_coarse_oceanreg_polygons_d_Id15,johnstonestrait
eco_coarse_oceanreg_polygons_d_Id18,northernstraitofgeorgia
eco_coarse_oceanreg_polygons_d_Id2,coastalmixingregion
eco_coarse_oceanreg_polygons_d_Id3,sealaskamixingregion
eco_coarse_oceanreg_polygons_d_Id4,dixonentrancecoastalflowregion
eco_coarse_oceanreg_polygons_d_Id5,westcoastqciupwellingregion
eco_coarse_oceanreg_polygons_d_Id6,lowflownearshore
eco_coarse_oceanreg_polygons_d_Id7,dogfishbankfrontalregion
eco_coarse_oceanreg_polygons_d_Id8,rosespiteddy
eco_coarse_oceanreg_polygons_d_Id9,hecatestrait
